group,candidate,species,reactions,fuel_observable,count,success,E_full_group,E_success_subset
GPT 普通 Solo,candidate_3,81,464,c3h6/laminar_flame_speed,28,28,2.291060272375664,2.291060272375664
GPT 普通 Solo,candidate_3,81,464,c3h8/ignition_delay,46,46,1.3607331821294257,1.3607331821294257
GPT 普通 Solo,candidate_3,81,464,c3h8/laminar_flame_speed,21,21,2.1350482614506787,2.1350482614506787
GPT 普通 Solo,candidate_3,81,464,c4h10/ignition_delay,4,4,2.1350532039430146,2.1350532039430146
GPT 普通 Solo,candidate_3,81,464,c4h10/laminar_flame_speed,9,9,1.17727979369651,1.17727979369651
GPT 普通 Solo,candidate_3,81,464,c4h6/ignition_delay,24,24,1.6401282925760203,1.6401282925760203
GPT 普通 Solo,candidate_3,81,464,c4h6/laminar_flame_speed,21,21,1.2112313459309518,1.2112313459309518
GPT 普通 Solo,candidate_3,81,464,c4h81/ignition_delay,15,15,3.5638898190882053,3.5638898190882053
GPT 普通 Solo,candidate_3,81,464,c4h81/laminar_flame_speed,9,9,1.6965866914630086,1.6965866914630086
GPT 普通 Solo,candidate_3,81,464,c4h82/laminar_flame_speed,7,7,5.54558599505106,5.54558599505106
GPT 普通 Solo,candidate_3,81,464,ch3cho/laminar_flame_speed,15,15,2.0620694528071533,2.0620694528071533
GPT 普通 Solo,candidate_3,81,464,ch3oh/ignition_delay,8,8,15.343298572192865,15.343298572192865
GPT 普通 Solo,candidate_3,81,464,ch3oh/laminar_flame_speed,12,12,3.9719816541839683,3.9719816541839683
GPT 普通 Solo,candidate_3,81,464,ch4/ignition_delay,35,35,3.3488691866493974,3.3488691866493974
GPT 普通 Solo,candidate_3,81,464,ch4/laminar_flame_speed,13,13,1.9054669943086004,1.9054669943086004
